Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2025-01-01,,13:30:00,3347.01,,,,,2025-01-01,,17:25:00,3340.78,1.03,,,1.03,-0.04899999999999993,Exit Condition Met For Trade
1.1,2025-01-01,Wednesday,13:30:00,7.3,0.1,CE,3360.0,Sell,2025-01-01,Wednesday,17:25:00,0.02,0.7280000000000001,99.72602739726028,2025-01-01,,,Exit Condition Met For Trade
1.2,2025-01-01,Wednesday,13:30:00,3.06,0.1,PE,3320.0,Sell,2025-01-01,Wednesday,17:25:00,0.05,0.30100000000000005,98.36601307189542,2025-01-01,,,Exit Condition Met For Trade
2,2025-01-02,,13:30:00,3420.06,,,,,2025-01-02,,17:25:00,3470.24,-1.54,,,0.2969999999999997,-2.1630000000000003,Exit Condition Met For Trade
2.1,2025-01-02,Thursday,13:30:00,6.82,0.1,CE,3440.0,Sell,2025-01-02,Thursday,17:25:00,29.33,-2.251,-330.05865102639297,2025-01-02,,,Exit Condition Met For Trade
2.2,2025-01-02,Thursday,13:30:00,7.14,0.1,PE,3400.0,Sell,2025-01-02,Thursday,17:25:00,0.01,0.7130000000000001,99.85994397759104,2025-01-02,,,Exit Condition Met For Trade
3,2025-01-03,,13:30:00,3433.13,,,,,2025-01-03,,17:25:00,3467.5,0.32999999999999996,,,1.0390000000000001,0,Exit Condition Met For Trade
3.1,2025-01-03,Friday,13:30:00,6.56,0.1,CE,3450.0,Sell,2025-01-03,Friday,17:25:00,10.45,-0.389,-59.298780487804876,2025-01-03,,,Exit Condition Met For Trade
3.2,2025-01-03,Friday,13:30:00,7.16,0.1,PE,3420.0,Sell,2025-01-03,Friday,17:25:00,0.01,0.7150000000000001,99.86033519553072,2025-01-03,,,Exit Condition Met For Trade
4,2025-01-04,,13:30:00,3594.04,,,,,2025-01-04,,17:25:00,3604.25,0.69,,,0.69,-0.10399999999999998,Exit Condition Met For Trade
4.1,2025-01-04,Saturday,13:30:00,1.98,0.1,CE,3620.0,Sell,2025-01-04,Saturday,17:25:00,0.01,0.197,99.4949494949495,2025-01-04,,,Exit Condition Met For Trade
4.2,2025-01-04,Saturday,13:30:00,4.89,0.1,PE,3580.0,Sell,2025-01-04,Saturday,17:25:00,0.01,0.488,99.79550102249489,2025-01-04,,,Exit Condition Met For Trade
5,2025-01-05,,13:30:00,3631.86,,,,,2025-01-05,,17:25:00,3611.89,-0.13,,,0.3650000000000001,-1.0379999999999998,Exit Condition Met For Trade
5.1,2025-01-05,Sunday,13:30:00,1.29,0.1,CE,3660.0,Sell,2025-01-05,Sunday,17:25:00,0.01,0.128,99.22480620155038,2025-01-05,,,Exit Condition Met For Trade
5.2,2025-01-05,Sunday,13:30:00,4.87,0.1,PE,3620.0,Sell,2025-01-05,Sunday,17:25:00,7.47,-0.25999999999999995,-53.38809034907596,2025-01-05,,,Exit Condition Met For Trade
6,2025-01-06,,13:30:00,3650.68,,,,,2025-01-06,,17:25:00,3653.81,1.5,,,1.5080000000000002,-0.040999999999999925,Exit Condition Met For Trade
6.1,2025-01-06,Monday,13:30:00,4.91,0.1,CE,3680.0,Sell,2025-01-06,Monday,17:25:00,0.01,0.49000000000000005,99.79633401221997,2025-01-06,,,Exit Condition Met For Trade
6.2,2025-01-06,Monday,13:30:00,10.26,0.1,PE,3640.0,Sell,2025-01-06,Monday,17:25:00,0.15,1.011,98.53801169590643,2025-01-06,,,Exit Condition Met For Trade
7,2025-01-07,,13:30:00,3667.77,,,,,2025-01-07,,17:25:00,3636.71,0.9199999999999999,,,0.923,-0.27700000000000014,Exit Condition Met For Trade
7.1,2025-01-07,Tuesday,13:30:00,6.97,0.1,CE,3680.0,Sell,2025-01-07,Tuesday,17:25:00,0.01,0.6960000000000001,99.85652797704448,2025-01-07,,,Exit Condition Met For Trade
7.2,2025-01-07,Tuesday,13:30:00,2.38,0.1,PE,3640.0,Sell,2025-01-07,Tuesday,17:25:00,0.16,0.22199999999999998,93.27731092436974,2025-01-07,,,Exit Condition Met For Trade
8,2025-01-08,,13:30:00,3354.33,,,,,2025-01-08,,17:25:00,3347.87,1.5899999999999999,,,1.6030000000000002,0,Exit Condition Met For Trade
8.1,2025-01-08,Wednesday,13:30:00,6.48,0.1,CE,3380.0,Sell,2025-01-08,Wednesday,17:25:00,0.01,0.6470000000000001,99.84567901234568,2025-01-08,,,Exit Condition Met For Trade
8.2,2025-01-08,Wednesday,13:30:00,10.68,0.1,PE,3340.0,Sell,2025-01-08,Wednesday,17:25:00,1.25,0.9430000000000001,88.29588014981273,2025-01-08,,,Exit Condition Met For Trade
9,2025-01-09,,13:30:00,3289.0,,,,,2025-01-09,,17:25:00,3301.9,0.58,,,0.8450000000000002,-1.8390000000000002,Exit Condition Met For Trade
9.1,2025-01-09,Thursday,13:30:00,8.46,0.1,CE,3300.0,Sell,2025-01-09,Thursday,17:25:00,6.22,0.22400000000000012,26.477541371158402,2025-01-09,,,Exit Condition Met For Trade
9.2,2025-01-09,Thursday,13:30:00,3.56,0.1,PE,3260.0,Sell,2025-01-09,Thursday,17:25:00,0.01,0.35500000000000004,99.71910112359551,2025-01-09,,,Exit Condition Met For Trade
10,2025-01-10,,13:30:00,3295.99,,,,,2025-01-10,,17:25:00,3308.0,1.5899999999999999,,,1.5899999999999999,-0.026999999999999913,Exit Condition Met For Trade
10.1,2025-01-10,Friday,13:30:00,6.93,0.1,CE,3320.0,Sell,2025-01-10,Friday,17:25:00,0.04,0.6890000000000001,99.42279942279943,2025-01-10,,,Exit Condition Met For Trade
10.2,2025-01-10,Friday,13:30:00,9.02,0.1,PE,3280.0,Sell,2025-01-10,Friday,17:25:00,0.06,0.8959999999999999,99.33481152993348,2025-01-10,,,Exit Condition Met For Trade
11,2025-01-11,,13:30:00,3235.79,,,,,2025-01-11,,17:25:00,3275.0,-0.8699999999999999,,,0.3420000000000001,-1.366,Exit Condition Met For Trade
11.1,2025-01-11,Saturday,13:30:00,1.78,0.1,CE,3260.0,Sell,2025-01-11,Saturday,17:25:00,13.53,-1.175,-660.1123595505618,2025-01-11,,,Exit Condition Met For Trade
