"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","P/L"
"1","2025-01-01"," 4:00:00 PM","2025-01-01"," 5:09:00 PM","","","","","","","88.85"
"1.1","2025-01-01"," 4:00:00 PM","2025-01-01"," 5:09:00 PM","CE","93600","Sell","0.01","63.52","10.67","45.05"
"1.2","2025-01-01"," 4:00:00 PM","2025-01-01"," 5:09:00 PM","PE","93200","Sell","0.01","56.18","4.50","44.20"
"2","2025-01-02"," 4:00:00 PM","2025-01-02"," 4:55:00 PM","","","","","","","133.19"
"2.1","2025-01-02"," 4:00:00 PM","2025-01-02"," 4:55:00 PM","CE","96800","Sell","0.01","148.08","11.85","115.60"
"2.2","2025-01-02"," 4:00:00 PM","2025-01-02"," 4:55:00 PM","PE","96400","Sell","0.01","69.18","48.72","17.00"
"3","2025-01-03"," 4:00:00 PM","2025-01-03"," 4:53:00 PM","","","","","","","51.73"
"3.1","2025-01-03"," 4:00:00 PM","2025-01-03"," 4:53:00 PM","CE","96600","Sell","0.01","105.07","117.50","-10.20"
"3.2","2025-01-03"," 4:00:00 PM","2025-01-03"," 4:53:00 PM","PE","96400","Sell","0.01","79.69","6.40","62.05"
"4","2025-01-04"," 4:00:00 PM","2025-01-04"," 5:05:00 PM","","","","","","","49.38"
"4.1","2025-01-04"," 4:00:00 PM","2025-01-04"," 5:05:00 PM","CE","98000","Sell","0.01","19.42","2.52","14.45"
"4.2","2025-01-04"," 4:00:00 PM","2025-01-04"," 5:05:00 PM","PE","97600","Sell","0.01","44.79","3.60","34.85"
"5","2025-01-05"," 4:00:00 PM","2025-01-05"," 4:19:00 PM","","","","","","","-14.86"
"5.1","2025-01-05"," 4:00:00 PM","2025-01-05"," 4:19:00 PM","CE","97800","Sell","0.01","23.58","58.95","-29.75"
"5.2","2025-01-05"," 4:00:00 PM","2025-01-05"," 4:19:00 PM","PE","97400","Sell","0.01","22.24","4.35","15.30"
"6","2025-01-06"," 4:00:00 PM","2025-01-06"," 4:55:00 PM","","","","","","","69.73"
"6.1","2025-01-06"," 4:00:00 PM","2025-01-06"," 4:55:00 PM","CE","99200","Sell","0.01","83.12","79.17","3.40"
"6.2","2025-01-06"," 4:00:00 PM","2025-01-06"," 4:55:00 PM","PE","98800","Sell","0.01","84.88","6.80","66.30"
"7","2025-01-07"," 4:00:00 PM","2025-01-07"," 4:41:00 PM","","","","","","","1.73"
"7.1","2025-01-07"," 4:00:00 PM","2025-01-07"," 4:41:00 PM","CE","101800","Sell","0.01","51.77","4.15","40.80"
"7.2","2025-01-07"," 4:00:00 PM","2025-01-07"," 4:41:00 PM","PE","101400","Sell","0.01","95.26","140.85","-39.10"
"8","2025-01-08"," 4:00:00 PM","2025-01-08"," 4:55:00 PM","","","","","","","79.31"
"8.1","2025-01-08"," 4:00:00 PM","2025-01-08"," 4:55:00 PM","CE","96000","Sell","0.01","114.35","9.15","89.25"
"8.2","2025-01-08"," 4:00:00 PM","2025-01-08"," 4:55:00 PM","PE","95600","Sell","0.01","77.95","89.84","-10.20"
"9","2025-01-09"," 4:00:00 PM","2025-01-09"," 4:50:00 PM","","","","","","","58.99"
"9.1","2025-01-09"," 4:00:00 PM","2025-01-09"," 4:50:00 PM","CE","93600","Sell","0.01","90.26","174.09","-71.40"
"9.2","2025-01-09"," 4:00:00 PM","2025-01-09"," 4:50:00 PM","PE","93200","Sell","0.01","166.58","13.35","130.05"
"10","2025-01-10"," 4:00:00 PM","2025-01-10"," 4:27:00 PM","","","","","","","-46.56"
"10.1","2025-01-10"," 4:00:00 PM","2025-01-10"," 4:27:00 PM","CE","95000","Sell","0.01","89.60","224.00","-113.90"
"10.2","2025-01-10"," 4:00:00 PM","2025-01-10"," 4:27:00 PM","PE","94600","Sell","0.01","89.73","10.11","68.00"
"11","2025-01-11"," 4:00:00 PM","2025-01-11"," 4:35:00 PM","","","","","","","3.62"
"11.1","2025-01-11"," 4:00:00 PM","2025-01-11"," 4:35:00 PM","CE","94600","Sell","0.01","22.61","50.16","-23.80"
"11.2","2025-01-11"," 4:00:00 PM","2025-01-11"," 4:35:00 PM","PE","94200","Sell","0.01","34.56","2.75","27.20"
"12","2025-01-12"," 4:00:00 PM","2025-01-12"," 4:38:00 PM","","","","","","","12.67"
"12.1","2025-01-12"," 4:00:00 PM","2025-01-12"," 4:38:00 PM","CE","94200","Sell","0.01","14.53","36.30","-18.70"
"12.2","2025-01-12"," 4:00:00 PM","2025-01-12"," 4:38:00 PM","PE","93800","Sell","0.01","38.86","2.19","31.45"
"13","2025-01-13"," 4:00:00 PM","2025-01-13"," 4:21:00 PM","","","","","","","-102.74"
"13.1","2025-01-13"," 4:00:00 PM","2025-01-13"," 4:21:00 PM","CE","92200","Sell","0.01","148.52","21.47","107.95"
"13.2","2025-01-13"," 4:00:00 PM","2025-01-13"," 4:21:00 PM","PE","91800","Sell","0.01","165.28","413.20","-210.80"
"14","2025-01-14"," 4:00:00 PM","2025-01-14"," 4:46:00 PM","","","","","","","50.06"
"14.1","2025-01-14"," 4:00:00 PM","2025-01-14"," 4:46:00 PM","CE","97000","Sell","0.01","96.57","7.75","75.65"
"14.2","2025-01-14"," 4:00:00 PM","2025-01-14"," 4:46:00 PM","PE","96600","Sell","0.01","121.91","151.84","-25.50"
"15","2025-01-15"," 4:00:00 PM","2025-01-15"," 4:41:00 PM","","","","","","","30.65"
"15.1","2025-01-15"," 4:00:00 PM","2025-01-15"," 4:41:00 PM","CE","97200","Sell","0.01","126.03","10.10","98.60"
"15.2","2025-01-15"," 4:00:00 PM","2025-01-15"," 4:41:00 PM","PE","96800","Sell","0.01","69.15","149.02","-68.00"
"16","2025-01-16"," 4:00:00 PM","2025-01-16"," 4:39:00 PM","","","","","","","-49.50"
"16.1","2025-01-16"," 4:00:00 PM","2025-01-16"," 4:39:00 PM","CE","99600","Sell","0.01","62.58","5.00","49.30"
"16.2","2025-01-16"," 4:00:00 PM","2025-01-16"," 4:39:00 PM","PE","99200","Sell","0.01","96.31","212.13","-98.60"
"17","2025-01-17"," 4:00:00 PM","2025-01-17"," 4:57:00 PM","","","","","","","134.42"
"17.1","2025-01-17"," 4:00:00 PM","2025-01-17"," 4:57:00 PM","CE","102400","Sell","0.01","177.84","147.46","25.50"
"17.2","2025-01-17"," 4:00:00 PM","2025-01-17"," 4:57:00 PM","PE","102000","Sell","0.01","138.86","11.10","108.80"
"18","2025-01-18"," 4:00:00 PM","2025-01-18"," 4:17:00 PM","","","","","","","-66.67"
"18.1","2025-01-18"," 4:00:00 PM","2025-01-18"," 4:17:00 PM","CE","103400","Sell","0.01","73.03","11.24","52.70"
"18.2","2025-01-18"," 4:00:00 PM","2025-01-18"," 4:17:00 PM","PE","103000","Sell","0.01","93.47","233.70","-119.00"
"19","2025-01-19"," 4:00:00 PM","2025-01-19"," 4:11:00 PM","","","","","","","10.23"
"19.1","2025-01-19"," 4:00:00 PM","2025-01-19"," 4:11:00 PM","CE","104800","Sell","0.01","48.57","121.40","-62.05"
"19.2","2025-01-19"," 4:00:00 PM","2025-01-19"," 4:11:00 PM","PE","104400","Sell","0.01","108.42","23.56","72.25"
"20","2025-01-20"," 4:00:00 PM","2025-01-20"," 5:16:00 PM","","","","","","","506.73"
"20.1","2025-01-20"," 4:00:00 PM","2025-01-20"," 5:16:00 PM","CE","108800","Sell","0.01","412.18","32.95","322.15"
"20.2","2025-01-20"," 4:00:00 PM","2025-01-20"," 5:16:00 PM","PE","108400","Sell","0.01","477.46","260.54","184.45"
"21","2025-01-21"," 4:00:00 PM","2025-01-21"," 4:47:00 PM","","","","","","","-9.80"
"21.1","2025-01-21"," 4:00:00 PM","2025-01-21"," 4:47:00 PM","CE","103400","Sell","0.01","214.78","430.51","-183.60"
"21.2","2025-01-21"," 4:00:00 PM","2025-01-21"," 4:47:00 PM","PE","103000","Sell","0.01","221.95","17.75","173.40"
"22","2025-01-22"," 4:00:00 PM","2025-01-22"," 4:48:00 PM","","","","","","","49.43"
"22.1","2025-01-22"," 4:00:00 PM","2025-01-22"," 4:48:00 PM","CE","105200","Sell","0.01","94.00","131.83","-32.30"
"22.2","2025-01-22"," 4:00:00 PM","2025-01-22"," 4:48:00 PM","PE","104800","Sell","0.01","104.33","8.35","81.60"
"23","2025-01-23"," 4:00:00 PM","2025-01-23"," 4:12:00 PM","","","","","","","-136.07"
"23.1","2025-01-23"," 4:00:00 PM","2025-01-23"," 4:12:00 PM","CE","102200","Sell","0.01","126.14","22.40","88.40"
"23.2","2025-01-23"," 4:00:00 PM","2025-01-23"," 4:12:00 PM","PE","101800","Sell","0.01","175.88","439.70","-224.40"
"24","2025-01-24"," 4:00:00 PM","2025-01-24"," 5:12:00 PM","","","","","","","208.18"
"24.1","2025-01-24"," 4:00:00 PM","2025-01-24"," 5:12:00 PM","CE","105400","Sell","0.01","180.44","52.58","108.80"
"24.2","2025-01-24"," 4:00:00 PM","2025-01-24"," 5:12:00 PM","PE","105000","Sell","0.01","127.26","10.20","99.45"
"25","2025-01-25"," 4:00:00 PM","2025-01-25"," 4:18:00 PM","","","","","","","-61.32"
